Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
123,Monta Ellis,SG,31,IND,74,33,1998,247,557,0.443,43,135,0.319,204,422,0.483,0.482,93,128,0.727,19,185,204,236,78,27,135,149,630
124,Joel Embiid,C,22,PHI,31,31,786,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627
125,James Ennis,SF,26,MEM,64,28,1501,146,321,0.455,51,137,0.372,95,184,0.516,0.534,86,110,0.782,69,190,259,64,46,19,59,165,429
126,Tyler Ennis,PG,22,TOT,53,2,588,90,208,0.433,27,70,0.386,63,138,0.457,0.498,21,25,0.84,9,36,45,86,25,2,45,58,228
126,Tyler Ennis,PG,22,HOU,31,0,196,25,64,0.391,6,16,0.375,19,48,0.396,0.438,2,3,0.667,4,15,19,34,6,0,24,29,58
126,Tyler Ennis,PG,22,LAL,22,2,392,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,5,21,26,52,19,2,21,29,170
127,Tyreke Evans,SF,27,TOT,40,6,788,150,370,0.405,42,118,0.356,108,252,0.429,0.462,69,92,0.75,13,124,137,124,35,9,61,60,411
127,Tyreke Evans,SF,27,NOP,26,0,474,91,227,0.401,21,70,0.3,70,157,0.446,0.447,45,58,0.776,6,80,86,91,23,4,39,41,248
127,Tyreke Evans,SF,27,SAC,14,6,314,59,143,0.413,21,48,0.438,38,95,0.4,0.486,24,34,0.706,7,44,51,33,12,5,22,19,163
128,Dante Exum,PG,21,UTA,66,26,1228,155,363,0.427,44,149,0.295,111,214,0.519,0.488,58,73,0.795,30,102,132,111,21,12,80,146,412
129,Kenneth Faried,PF,27,DEN,61,34,1296,228,416,0.548,0,6,0,228,410,0.556,0.548,131,189,0.693,183,279,462,55,43,40,59,124,587
130,Jordan Farmar,PG,30,SAC,2,0,35,4,12,0.333,4,9,0.444,0,3,0,0.5,0,0,,1,2,3,9,2,0,3,1,12
131,Derrick Favors,PF,25,UTA,50,39,1186,203,417,0.487,3,10,0.3,200,407,0.491,0.49,67,109,0.615,92,213,305,56,45,40,60,103,476
132,Kay Felder,PG,21,CLE,42,0,386,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,30,38,166
133,Cristiano Felicio,C,24,CHI,66,0,1040,128,221,0.579,0,0,,128,221,0.579,0.579,60,93,0.645,124,187,311,40,25,17,33,110,316
134,Raymond Felton,PG,32,LAC,80,11,1700,221,514,0.43,46,144,0.319,175,370,0.473,0.475,50,64,0.781,33,185,218,191,66,22,83,125,538
135,Yogi Ferrell,PG,23,TOT,46,29,1197,160,394,0.406,68,176,0.386,92,218,0.422,0.492,74,89,0.831,20,91,111,172,42,9,70,90,462
135,Yogi Ferrell,PG,23,BRK,10,0,151,18,49,0.367,8,27,0.296,10,22,0.455,0.449,10,16,0.625,4,8,12,17,2,2,14,11,54
135,Yogi Ferrell,PG,23,DAL,36,29,1046,142,345,0.412,60,149,0.403,82,196,0.418,0.499,64,73,0.877,16,83,99,155,40,7,56,79,408
136,Dorian Finney-Smith,PF,23,DAL,81,35,1642,124,333,0.372,56,191,0.293,68,142,0.479,0.456,46,61,0.754,55,167,222,67,52,25,45,125,350
137,Bryn Forbes,SG,23,SAS,36,0,285,36,99,0.364,17,53,0.321,19,46,0.413,0.449,5,6,0.833,2,21,23,23,1,0,11,20,94
138,Evan Fournier,SG,24,ORL,68,66,2234,408,930,0.439,128,360,0.356,280,570,0.491,0.508,223,277,0.805,44,165,209,202,66,4,141,180,1167
139,Randy Foye,SG,33,BRK,69,40,1284,118,325,0.363,67,203,0.33,51,122,0.418,0.466,54,63,0.857,9,146,155,135,35,9,80,99,357
140,Tim Frazier,PG,26,NOP,65,35,1525,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464
141,Channing Frye,C,33,CLE,74,15,1398,238,520,0.458,137,335,0.409,101,185,0.546,0.589,63,74,0.851,37,253,290,45,33,37,53,138,676
142,Danilo Gallinari,SF,28,DEN,63,63,2134,335,750,0.447,126,324,0.389,209,426,0.491,0.531,349,387,0.902,39,286,325,135,40,15,82,93,1145
143,Langston Galloway,PG,25,TOT,74,2,1495,207,545,0.38,120,308,0.39,87,237,0.367,0.49,51,64,0.797,27,129,156,93,46,6,46,96,585
143,Langston Galloway,PG,25,NOP,55,0,1120,165,441,0.374,101,268,0.377,64,173,0.37,0.489,40,52,0.769,20,101,121,65,40,5,28,76,471
143,Langston Galloway,PG,25,SAC,19,2,375,42,104,0.404,19,40,0.475,23,64,0.359,0.495,11,12,0.917,7,28,35,28,6,1,18,20,114
144,Patricio Garino,SG,23,ORL,5,0,43,0,7,0,0,5,0,0,2,0,0,0,0,,1,6,7,0,0,0,3,4,0
145,Marc Gasol,C,32,MEM,74,74,2531,532,1160,0.459,104,268,0.388,428,892,0.48,0.503,278,332,0.837,60,404,464,338,67,99,166,171,1446
146,Pau Gasol,C,36,SAS,64,39,1627,303,604,0.502,56,104,0.538,247,500,0.494,0.548,130,184,0.707,107,394,501,150,24,70,81,110,792
147,Rudy Gay,SF,30,SAC,30,30,1013,201,442,0.455,42,113,0.372,159,329,0.483,0.502,118,138,0.855,35,155,190,83,44,26,74,79,562
148,Michael Gbinije,SG,24,DET,9,0,32,1,10,0.1,0,4,0,1,6,0.167,0.1,2,2,1,2,1,3,2,0,0,0,2,4
149,Alonzo Gee,SF,29,DEN,13,0,89,3,14,0.214,0,3,0,3,11,0.273,0.214,5,9,0.556,4,11,15,6,5,1,4,14,11
150,Paul George,SF,26,IND,75,75,2689,622,1348,0.461,195,496,0.393,427,852,0.501,0.534,336,374,0.898,58,434,492,251,119,27,220,206,1775
151,Marcus Georges-Hunt,SG,22,ORL,5,0,48,2,7,0.286,1,2,0.5,1,5,0.2,0.357,9,10,0.9,1,8,9,3,1,0,2,5,14
152,Jonathan Gibson,PG,29,DAL,17,0,231,35,95,0.368,15,45,0.333,20,50,0.4,0.447,21,29,0.724,1,21,22,26,8,0,21,21,106
153,Taj Gibson,PF,31,TOT,78,71,1989,365,709,0.515,3,13,0.231,362,696,0.52,0.517,113,158,0.715,158,327,485,73,41,65,105,163,846
153,Taj Gibson,PF,31,CHI,55,55,1502,276,530,0.521,2,12,0.167,274,518,0.529,0.523,85,119,0.714,120,262,382,60,27,50,77,123,639
153,Taj Gibson,PF,31,OKC,23,16,487,89,179,0.497,1,1,1,88,178,0.494,0.5,28,39,0.718,38,65,103,13,14,15,28,40,207
154,Manu Ginobili,SG,39,SAS,69,0,1291,171,439,0.39,89,227,0.392,82,212,0.387,0.491,86,107,0.804,28,129,157,183,82,16,96,119,517
155,Rudy Gobert,C,24,UTA,81,81,2744,413,625,0.661,0,1,0,413,624,0.662,0.661,311,476,0.653,314,721,1035,97,49,214,147,246,1137
156,Archie Goodwin,SG,22,TOT,15,0,214,36,66,0.545,5,15,0.333,31,51,0.608,0.583,33,42,0.786,7,21,28,24,4,5,14,8,110
156,Archie Goodwin,SG,22,NOP,3,0,30,2,5,0.4,1,2,0.5,1,3,0.333,0.5,10,10,1,0,0,0,1,0,1,0,1,15
156,Archie Goodwin,SG,22,BRK,12,0,184,34,61,0.557,4,13,0.308,30,48,0.625,0.59,23,32,0.719,7,21,28,23,4,4,14,7,95
157,Aaron Gordon,SF,21,ORL,80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019
158,Eric Gordon,SG,28,HOU,75,15,2323,412,1016,0.406,246,661,0.372,166,355,0.468,0.527,147,175,0.84,29,172,201,188,48,41,121,150,1217
159,Marcin Gortat,C,32,WAS,82,82,2556,390,674,0.579,0,2,0,390,672,0.58,0.579,103,159,0.648,238,611,849,121,40,61,119,213,883
160,Treveon Graham,SG,23,CHO,27,1,189,19,40,0.475,9,15,0.6,10,25,0.4,0.588,10,15,0.667,5,17,22,6,6,1,3,18,57
161,Jerami Grant,SF,22,TOT,80,4,1531,152,328,0.463,43,116,0.371,109,212,0.514,0.529,90,147,0.612,38,167,205,46,33,79,44,149,437
161,Jerami Grant,SF,22,PHI,2,0,41,6,17,0.353,0,2,0,6,15,0.4,0.353,4,8,0.5,0,6,6,0,0,4,3,5,16
161,Jerami Grant,SF,22,OKC,78,4,1490,146,311,0.469,43,114,0.377,103,197,0.523,0.539,86,139,0.619,38,161,199,46,33,75,41,144,421
162,Jerian Grant,PG,24,CHI,63,28,1028,128,301,0.425,49,134,0.366,79,167,0.473,0.507,65,73,0.89,17,94,111,121,47,8,44,93,370
163,Danny Green,SG,29,SAS,68,68,1807,176,449,0.392,118,311,0.379,58,138,0.42,0.523,27,32,0.844,31,193,224,124,70,57,76,120,497
164,Draymond Green,PF,26,GSW,76,76,2471,272,650,0.418,81,263,0.308,191,387,0.494,0.481,151,213,0.709,98,501,599,533,154,106,184,217,776
165,Gerald Green,SF,31,BOS,47,0,538,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262
166,JaMychal Green,PF,26,MEM,77,75,2101,250,500,0.5,55,145,0.379,195,355,0.549,0.555,134,167,0.802,167,377,544,84,47,34,94,248,689
167,Jeff Green,PF,30,ORL,69,11,1534,220,558,0.394,53,193,0.275,167,365,0.458,0.442,145,168,0.863,39,175,214,81,37,13,75,103,638
168,Blake Griffin,PF,27,LAC,61,61,2076,479,971,0.493,38,113,0.336,441,858,0.514,0.513,320,421,0.76,112,385,497,300,57,22,142,157,1316
169,Justin Hamilton,C,26,BRK,64,7,1177,174,379,0.459,55,180,0.306,119,199,0.598,0.532,39,52,0.75,71,191,262,55,29,43,43,91,442
170,A.J. Hammons,C,24,DAL,22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48
171,Tim Hardaway,SG,24,ATL,79,30,2154,415,912,0.455,149,417,0.357,266,495,0.537,0.537,164,214,0.766,35,189,224,182,55,15,106,103,1143
172,James Harden,PG,27,HOU,81,81,2947,674,1533,0.44,262,756,0.347,412,777,0.53,0.525,746,881,0.847,95,564,659,907,121,38,464,215,2356
173,Maurice Harkless,SF,23,POR,77,69,2223,314,624,0.503,68,194,0.351,246,430,0.572,0.558,77,124,0.621,125,216,341,88,85,70,86,214,773
174,Justin Harper,PF,27,PHI,3,0,31,5,12,0.417,2,7,0.286,3,5,0.6,0.5,0,0,,2,3,5,2,0,0,4,2,12
175,Montrezl Harrell,C,23,HOU,58,14,1064,225,345,0.652,1,7,0.143,224,338,0.663,0.654,76,121,0.628,81,138,219,64,20,42,44,126,527
176,Devin Harris,PG,33,DAL,65,0,1087,136,341,0.399,58,177,0.328,78,164,0.476,0.484,107,129,0.829,11,116,127,136,43,7,57,101,437
177,Gary Harris,SG,22,DEN,57,56,1782,320,637,0.502,107,255,0.42,213,382,0.558,0.586,104,134,0.776,48,130,178,164,71,8,76,92,851
178,Joe Harris,SG,25,BRK,52,11,1138,154,362,0.425,85,221,0.385,69,141,0.489,0.543,35,49,0.714,16,131,147,54,30,8,55,121,428
179,Manny Harris,SG,27,DAL,4,0,25,3,15,0.2,0,2,0,3,13,0.231,0.2,2,4,0.5,3,6,9,2,0,0,2,1,8
180,Tobias Harris,PF,24,DET,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321
181,Aaron Harrison,SG,22,CHO,5,0,17,0,4,0,0,2,0,0,2,0,0,1,2,0.5,0,3,3,3,0,0,0,2,1
182,Andrew Harrison,PG,22,MEM,72,18,1474,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,53,21,85,194,425
183,Udonis Haslem,C,36,MIA,16,0,130,11,23,0.478,0,3,0,11,20,0.55,0.478,9,15,0.6,8,28,36,6,6,1,8,22,31
184,Spencer Hawes,PF,28,TOT,54,1,797,134,277,0.484,25,81,0.309,109,196,0.556,0.529,44,52,0.846,38,153,191,81,15,30,49,77,337
184,Spencer Hawes,PF,28,CHO,35,1,626,104,218,0.477,16,55,0.291,88,163,0.54,0.514,30,34,0.882,32,114,146,62,13,26,40,61,254
184,Spencer Hawes,PF,28,MIL,19,0,171,30,59,0.508,9,26,0.346,21,33,0.636,0.585,14,18,0.778,6,39,45,19,2,4,9,16,83
185,Gordon Hayward,SF,26,UTA,73,73,2516,545,1156,0.471,149,374,0.398,396,782,0.506,0.536,362,429,0.844,49,345,394,252,73,20,140,117,1601
186,Gerald Henderson,SG,29,PHI,72,41,1667,234,553,0.423,61,173,0.353,173,380,0.455,0.478,133,165,0.806,34,151,185,112,40,15,62,129,662
187,John Henson,C,26,MIL,58,39,1123,159,309,0.515,0,1,0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392
188,Juan Hernangomez,PF,21,DEN,62,9,842,101,224,0.451,46,113,0.407,55,111,0.495,0.554,57,76,0.75,43,144,187,29,30,12,31,62,305
189,Willy Hernangomez,C,22,NYK,72,22,1324,246,465,0.529,4,15,0.267,242,450,0.538,0.533,91,125,0.728,170,332,502,96,41,36,100,150,587
190,Mario Hezonja,SF,21,ORL,65,2,960,117,330,0.355,43,144,0.299,74,186,0.398,0.42,40,50,0.8,20,126,146,62,30,15,58,74,317
191,Roy Hibbert,C,30,TOT,48,13,682,80,147,0.544,0,0,,80,147,0.544,0.544,61,75,0.813,54,98,152,21,8,46,32,100,221
191,Roy Hibbert,C,30,CHO,42,13,671,78,144,0.542,0,0,,78,144,0.542,0.542,61,75,0.813,53,97,150,20,8,44,31,97,217
191,Roy Hibbert,C,30,DEN,6,0,11,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,1,2,1,0,2,1,3,4
192,Buddy Hield,SG,23,TOT,82,55,1888,327,767,0.426,148,379,0.391,179,388,0.461,0.523,64,76,0.842,35,234,269,121,38,9,101,115,866
192,Buddy Hield,SG,23,NOP,57,37,1161,185,471,0.393,89,241,0.369,96,230,0.417,0.487,29,33,0.879,19,147,166,77,18,7,48,81,488
192,Buddy Hield,SG,23,SAC,25,18,727,142,296,0.48,59,138,0.428,83,158,0.525,0.579,35,43,0.814,16,87,103,44,20,2,53,34,378
193,Nene Hilario,C,34,HOU,67,8,1198,245,397,0.617,3,9,0.333,242,388,0.624,0.621,116,197,0.589,95,187,282,65,56,39,73,163,609
194,George Hill,PG,30,UTA,49,49,1544,289,606,0.477,94,233,0.403,195,373,0.523,0.554,157,196,0.801,23,144,167,204,50,11,85,114,829
195,Jordan Hill,C,29,MIN,7,0,47,5,13,0.385,0,0,,5,13,0.385,0.385,2,2,1,8,6,14,0,1,0,4,9,12
196,Solomon Hill,SF,25,NOP,80,71,2374,183,478,0.383,94,270,0.348,89,208,0.428,0.481,103,128,0.805,51,256,307,141,72,32,82,182,563
197,Darrun Hilliard,SG,23,DET,39,1,381,47,126,0.373,12,46,0.261,35,80,0.438,0.421,21,28,0.75,2,31,33,33,11,2,28,39,127
198,Jrue Holiday,PG,26,NOP,67,61,2190,405,893,0.454,100,281,0.356,305,612,0.498,0.51,119,168,0.708,46,218,264,488,100,44,194,133,1029
199,Justin Holiday,SG,27,NYK,82,4,1639,233,538,0.433,97,273,0.355,136,265,0.513,0.523,66,80,0.825,27,198,225,102,65,31,66,109,629
200,Rondae Hollis-Jefferson,SF,22,BRK,78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675
201,Richaun Holmes,C,23,PHI,57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559
202,Rodney Hood,SG,24,UTA,59,55,1593,272,666,0.408,114,307,0.371,158,359,0.44,0.494,90,115,0.783,16,186,202,96,38,11,65,132,748
203,Al Horford,C,30,BOS,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952
204,Danuel House,SG,23,WAS,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
205,Dwight Howard,C,31,ATL,74,74,2199,388,613,0.633,0,2,0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002
206,Marcelo Huertas,PG,33,LAL,23,1,237,25,68,0.368,4,19,0.211,21,49,0.429,0.397,9,17,0.529,2,22,24,52,10,2,19,16,63
207,Josh Huestis,PF,25,OKC,2,0,31,6,11,0.545,2,4,0.5,4,7,0.571,0.636,0,1,0,4,5,9,3,0,3,0,0,14
208,Kris Humphries,PF,31,ATL,56,4,689,87,214,0.407,19,54,0.352,68,160,0.425,0.451,64,82,0.78,60,146,206,29,15,21,28,69,257
209,R.J. Hunter,SG,23,CHI,3,0,9,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0
210,Serge Ibaka,PF,27,TOT,79,79,2422,471,982,0.48,124,317,0.391,347,665,0.522,0.543,107,125,0.856,129,409,538,75,41,124,105,215,1173
210,Serge Ibaka,PF,27,ORL,56,56,1710,343,703,0.488,83,214,0.388,260,489,0.532,0.547,77,91,0.846,100,282,382,60,34,91,66,139,846
210,Serge Ibaka,PF,27,TOR,23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327
211,Andre Iguodala,SF,33,GSW,76,0,1998,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,261,76,39,58,97,574
212,Ersan Ilyasova,PF,29,TOT,82,52,2142,384,890,0.431,142,402,0.353,242,488,0.496,0.511,161,207,0.778,115,366,481,141,58,23,116,211,1071
212,Ersan Ilyasova,PF,29,OKC,3,0,62,6,16,0.375,3,12,0.25,3,4,0.75,0.469,0,0,,2,14,16,1,3,1,4,5,15
212,Ersan Ilyasova,PF,29,PHI,53,40,1447,285,648,0.44,107,298,0.359,178,350,0.509,0.522,109,142,0.768,71,243,314,97,33,14,78,133,786
212,Ersan Ilyasova,PF,29,ATL,26,12,633,93,226,0.412,32,92,0.348,61,134,0.455,0.482,52,65,0.8,42,109,151,43,22,8,34,73,270
213,Joe Ingles,SF,29,UTA,82,26,1972,204,451,0.452,123,279,0.441,81,172,0.471,0.589,50,68,0.735,23,238,261,225,96,8,107,163,581
214,Brandon Ingram,SF,19,LAL,79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740
215,Kyrie Irving,PG,24,CLE,72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816
216,Jarrett Jack,PG,33,NOP,2,0,33,2,3,0.667,0,1,0,2,2,1,0.667,2,2,1,0,0,0,5,2,0,3,4,6
217,Demetrius Jackson,PG,22,BOS,5,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
218,Pierre Jackson,PG,25,DAL,8,1,84,13,39,0.333,3,11,0.273,10,28,0.357,0.372,6,7,0.857,1,8,9,19,2,0,3,5,35
219,Reggie Jackson,PG,26,DET,52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752
220,LeBron James,SF,32,CLE,74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954
221,Al Jefferson,C,32,IND,66,1,931,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535
222,Richard Jefferson,SF,36,CLE,79,13,1614,153,343,0.446,62,186,0.333,91,157,0.58,0.536,80,108,0.741,28,175,203,78,26,10,52,153,448
223,John Jenkins,SG,25,PHO,4,0,13,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,2,1,0,1,1,1,0,0,0,0,7
224,Brandon Jennings,PG,27,TOT,81,13,1802,192,535,0.359,79,252,0.313,113,283,0.399,0.433,114,152,0.75,29,167,196,395,70,4,128,116,577
224,Brandon Jennings,PG,27,NYK,58,11,1428,163,429,0.38,68,200,0.34,95,229,0.415,0.459,102,135,0.756,21,131,152,287,55,4,106,84,496
224,Brandon Jennings,PG,27,WAS,23,2,374,29,106,0.274,11,52,0.212,18,54,0.333,0.325,12,17,0.706,8,36,44,108,15,0,22,32,81
225,Jonas Jerebko,PF,29,BOS,78,6,1232,114,262,0.435,45,130,0.346,69,132,0.523,0.521,26,37,0.703,59,213,272,71,25,17,39,122,299
226,Amir Johnson,PF,29,BOS,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520
227,Brice Johnson,PF,22,LAC,3,0,9,2,7,0.286,0,0,,2,7,0.286,0.286,0,0,,1,2,3,1,2,1,1,0,4
228,James Johnson,PF,29,MIA,76,5,2085,368,769,0.479,87,256,0.34,281,513,0.548,0.535,152,215,0.707,66,310,376,276,76,86,171,197,975
229,Joe Johnson,SF,35,UTA,78,14,1843,273,626,0.436,106,258,0.411,167,368,0.454,0.521,63,77,0.818,33,210,243,144,36,18,69,93,715
230,Stanley Johnson,SF,20,DET,77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339
231,Tyler Johnson,PG,24,MIA,73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002
232,Wesley Johnson,SF,29,LAC,68,3,810,73,200,0.365,29,118,0.246,44,82,0.537,0.438,11,17,0.647,26,155,181,23,29,30,18,83,186
233,Nikola Jokic,C,21,DEN,73,59,2038,494,854,0.578,45,139,0.324,449,715,0.628,0.605,188,228,0.825,212,506,718,359,61,55,171,214,1221
234,Dahntay Jones,SF,36,CLE,1,0,12,3,8,0.375,0,2,0,3,6,0.5,0.375,3,4,0.75,1,1,2,1,0,0,1,1,9
235,Damian Jones,C,21,GSW,10,0,85,8,16,0.5,0,0,,8,16,0.5,0.5,3,10,0.3,9,14,23,0,1,4,6,15,19
236,Derrick Jones,SF,19,PHO,32,8,545,68,121,0.562,3,11,0.273,65,110,0.591,0.574,29,41,0.707,39,40,79,12,14,13,13,63,168
237,James Jones,SF,36,CLE,48,2,381,44,92,0.478,31,66,0.47,13,26,0.5,0.647,13,20,0.65,3,34,37,14,6,10,10,37,132
238,Terrence Jones,PF,25,TOT,54,12,1270,231,492,0.47,19,75,0.253,212,417,0.508,0.489,103,170,0.606,65,241,306,59,40,54,48,67,584
238,Terrence Jones,PF,25,NOP,51,12,1264,231,489,0.472,19,75,0.253,212,414,0.512,0.492,103,170,0.606,65,238,303,59,39,53,48,67,584
238,Terrence Jones,PF,25,MIL,3,0,6,0,3,0,0,0,,0,3,0,0,0,0,,0,3,3,0,1,1,0,0,0
239,Tyus Jones,PG,20,MIN,60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,48,5,38,50,209
240,DeAndre Jordan,C,28,LAC,81,81,2570,412,577,0.714,0,2,0,412,575,0.717,0.714,205,425,0.482,298,816,1114,96,51,134,115,212,1029
241,Cory Joseph,PG,25,TOR,80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740
